case_id,household_case_id,village_code,country,household_cohort,control_myagro,myagro,cowpea_hectares,maize_hectares,millet_hectares,okra_hectares,peanut_hectares,rice_hectares,roselle_hectares,sorghum_hectares,watermelon_hectares,fertilizer_hectares,hectares_delivered_before_2023,cashew,peanut,bissap,cotton,okra,maize,millet,cowpea,watermelon,sweet_potato,rice,sorghum,tomato,data_collection_period_encoded,data_collection_period_eng,t_c,sin_t,cos_t,rcsi,propensity,hdds_cereals,hdds_eggs,hdds_fish_seafood,hdds_fruits,hdds_meat_poultry_offal,hdds_milk_products,hdds_miscellaneous,hdds_oils_fats,hdds_pulses_legumes_nuts,hdds_roots_tubers,hdds_sugar_honey,hdds_vegetables,hhs_hungry,hhs_hungry_freq,hhs_hungry_yes_no,hhs_no_food,hhs_no_food_freq,hhs_no_food_yes_no,hhs_no_resources,hhs_no_resources_freq,hhs_no_resources_yes_no,rcsi_borrow,rcsi_limit,rcsi_reduce,rcsi_rely,rcsi_restrict,hhs_no_resources_recoded,hhs_hungry_recoded,hhs_no_food_recoded,hhs_categorical
c134bcb0-a898-4172-9cff-0a8057786e43,0000d99e-fa4d-4e2d-9a86-b7ea0f026646,6067,Senegal,3,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,June/July 2024,1.31103425004218,0.8571362080725473,0.5150898181977731,9,0.596039,1,0,1,0,0,0,1,1,0,1,1,1,0,,0,0,,0,0,,0,3,0,0,3,0,0,0,0,Little to no hunger
c31aa7b8-950f-468c-9ae1-257bcc12a250,0000d99e-fa4d-4e2d-9a86-b7ea0f026646,6067,Senegal,3,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,July/August 2024,2.31103425004218,0.9703103284964132,-0.2418633217608304,19,0.596039,1,0,1,1,0,0,0,1,0,1,0,1,0,,0,0,,0,0,,0,3,2,2,3,2,0,0,0,Little to no hunger
64295391-b26d-4519-ab8e-b49c5f2e64b3,0000d99e-fa4d-4e2d-9a86-b7ea0f026646,6067,Senegal,3,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,8,September 2024,3.31103425004218,0.5150898181977732,-0.8571362080725472,8,0.596039,1,0,1,0,0,0,1,1,0,0,1,1,0,,0,0,,0,0,,0,2,0,2,2,0,0,0,0,Little to no hunger
f0a6bc23-a3e5-4f24-b43e-0c592aec2ed8,002d398e4eda404cb2d431fff68a4a2e,EB409,Mali,1,myagro,1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,October 2023,-3.68896574995782,-0.2418633217608305,-0.970310328496413,0,0.5633351,1,0,1,0,0,1,1,1,1,1,1,1,0,,0,0,,0,1,1.0,1,0,0,0,0,0,1,0,0,Little to no hunger
6654e86c-1ca2-4fef-9c7e-7e1901c93ce9,002d398e4eda404cb2d431fff68a4a2e,EB409,Mali,1,myagro,1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,November/December 2023,-2.68896574995782,-0.8571362080725473,-0.515089818197773,0,0.5633351,1,0,1,0,0,0,1,0,0,1,1,1,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Little to no hunger
70a86630-4411-430b-886e-b9f87e655ddb,00357534-5c18-4f70-8fb5-0712bd387f8a,12224,Senegal,3,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,June/July 2024,1.31103425004218,0.8571362080725473,0.5150898181977731,0,0.51276886,1,1,1,1,1,1,1,1,1,1,1,1,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Little to no hunger
f168f785-71d0-4b59-a3e0-1d646f55a661,00357534-5c18-4f70-8fb5-0712bd387f8a,12224,Senegal,3,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,July/August 2024,2.31103425004218,0.9703103284964132,-0.2418633217608304,4,0.51276886,1,1,1,0,1,1,1,1,0,1,1,1,0,,0,0,,0,0,,0,2,0,0,0,0,0,0,0,Little to no hunger
03a71c2e-2feb-4aee-b467-bac36e065be3,00357534-5c18-4f70-8fb5-0712bd387f8a,12224,Senegal,3,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,September 2024,3.31103425004218,0.5150898181977732,-0.8571362080725472,0,0.51276886,1,1,1,1,0,1,1,1,1,1,1,1,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Little to no hunger
8ac9a3c9-f2c4-4a6d-9ae0-88f4a7c66dd4,00412397-99d5-4a3e-928b-766060ba9bac,12752,Mali,3,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,June/July 2024,1.31103425004218,0.8571362080725473,0.5150898181977731,28,0.3748165,1,1,1,1,0,0,1,1,1,0,1,1,0,,0,0,,0,0,,0,0,7,0,0,7,0,0,0,Little to no hunger
7513535b-36e3-45e5-993e-1eaa181480e1,00412397-99d5-4a3e-928b-766060ba9bac,12752,Mali,3,control,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,July/August 2024,2.31103425004218,0.9703103284964132,-0.2418633217608304,0,0.3748165,1,0,0,0,0,1,1,1,0,0,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Little to no hunger
